"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"ABCA1"	4.65426703867778e-20	-2.90411095705425	0.028	0.236	1.07736973411313e-15	"Mig"	"ABCA1"	"80-90"
"SAR1A"	7.29864097834011e-20	2.11175993753331	0.394	0.065	1.68948941366617e-15	"Mig"	"SAR1A"	"80-90"
"SIGLEC10"	1.15594258336113e-19	1.58777067628735	0.331	0.024	2.67577589196433e-15	"Mig"	"SIGLEC10"	"80-90"
"FKBP5"	2.36358528199151e-19	1.50556035925159	0.4	0.069	5.47122721075394e-15	"Mig"	"FKBP5"	"80-90"
"CSF1R"	3.82429015326944e-19	0.609720471847254	0.584	0.199	8.85246684678809e-15	"Mig"	"CSF1R"	"80-90"
"LAIR1"	7.18639311598494e-19	1.32235202607031	0.412	0.085	1.66350627848819e-14	"Mig"	"LAIR1"	"80-90"
"ITGB2"	8.11819253930331e-19	1.41660005945949	0.525	0.163	1.87919920899793e-14	"Mig"	"ITGB2"	"80-90"
"ACTG1"	1.3235618686762e-18	1.41079578719226	0.426	0.093	3.06378101361168e-14	"Mig"	"ACTG1"	"80-90"
"CLEC7A"	2.85058125525479e-18	0.372930741614339	0.661	0.28	6.59852548966379e-14	"Mig"	"CLEC7A"	"80-90"
"SERPINB9"	3.69344059228999e-18	0.36376112477633	0.753	0.366	8.54957628303286e-14	"Mig"	"SERPINB9"	"80-90"
"S100A11"	3.81188858375602e-18	0.825240982481548	0.505	0.138	8.82375969367845e-14	"Mig"	"S100A11"	"80-90"
"SSR4"	4.21356632977541e-18	1.89202399441989	0.345	0.049	9.75356334016413e-14	"Mig"	"SSR4"	"80-90"
"MPC2"	4.47408554660665e-18	1.84836677526526	0.323	0.037	1.03566132232851e-13	"Mig"	"MPC2"	"80-90"
"LCP1"	4.72719582232258e-18	1.9902374615713	0.351	0.053	1.09425128895123e-13	"Mig"	"LCP1"	"80-90"
"MARCHF6"	5.37152675554038e-18	1.00138941473617	0.391	0.081	1.24340101337249e-13	"Mig"	"MARCHF6"	"80-90"
"TPI1"	5.66606253193331e-18	2.31600841876621	0.318	0.033	1.31158015489192e-13	"Mig"	"TPI1"	"80-90"
"FCGR3A"	6.26299517198936e-18	0.319037644331002	0.75	0.362	1.4497581224121e-13	"Mig"	"FCGR3A"	"80-90"
"HLA-E"	6.45441235509502e-18	0.847206375978326	0.523	0.167	1.4940673719574e-13	"Mig"	"HLA-E"	"80-90"
"ND5"	6.62252704275809e-18	0.231322630069481	0.493	0.134	1.53298255985764e-13	"Mig"	"ND5"	"80-90"
"CTSD"	6.86789500445991e-18	0.563922536989262	0.373	0.057	1.58978033563238e-13	"Mig"	"CTSD"	"80-90"
"GLUL"	7.85379760205044e-18	1.35618309258832	0.367	0.061	1.81799706892264e-13	"Mig"	"GLUL"	"80-90"
"DUSP1"	1.16305309585076e-17	2.30101362832742	0.284	0.016	2.69223530627534e-13	"Mig"	"DUSP1"	"80-90"
"TYMP"	1.22409270856454e-17	2.45529153578955	0.258	0.004	2.8335298017852e-13	"Mig"	"TYMP"	"80-90"
"PPIA"	2.23633953334259e-17	0.874769082026588	0.329	0.041	5.17667875178144e-13	"Mig"	"PPIA"	"80-90"
"SAT1"	3.84608880286139e-17	0.770609088100679	0.892	0.557	8.90292636086355e-13	"Mig"	"SAT1"	"80-90"
