"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"CH17-373J23.1"	3.88073435620609e-15	0.417481947388005	0.411	0.325	1.27047481353475e-10	"Mig"	"CH17-373J23.1"	"Temporal lobe"
"RP11-145P16.2"	4.52834175635705e-15	-0.399417640900818	0.122	0.194	1.48248852419617e-10	"Mig"	"RP11-145P16.2"	"Temporal lobe"
"USP53"	5.34579080816842e-15	-0.315377604632445	0.321	0.417	1.75010499477818e-10	"Mig"	"USP53"	"Temporal lobe"
"IL1B"	5.56209145219752e-15	0.564106553782428	0.305	0.218	1.82091749962042e-10	"Mig"	"IL1B"	"Temporal lobe"
"SKIL"	6.29926486723453e-15	0.339328222381329	0.38	0.294	2.06225333223524e-10	"Mig"	"SKIL"	"Temporal lobe"
"SULT1B1"	1.38659291419124e-14	-0.264960136637176	0.151	0.229	4.53942788247929e-10	"Mig"	"SULT1B1"	"Temporal lobe"
"HLA-DRA"	2.58184160197779e-14	0.221054711549413	0.874	0.829	8.45243303655489e-10	"Mig"	"HLA-DRA"	"Temporal lobe"
"CTD-3014M21.1"	2.76555134747735e-14	0.346705373711839	0.254	0.173	9.05386200137135e-10	"Mig"	"CTD-3014M21.1"	"Temporal lobe"
"ZNF471"	3.13958888639955e-14	-0.343368621622335	0.159	0.235	1.02783860962948e-09	"Mig"	"ZNF471"	"Temporal lobe"
"EIF1AX"	1.42323307513458e-13	0.419974750051911	0.329	0.253	4.65938044137558e-09	"Mig"	"EIF1AX"	"Temporal lobe"
"PGM5P2"	1.80870295922134e-13	-0.36902022396488	0.185	0.261	5.92133174789883e-09	"Mig"	"PGM5P2"	"Temporal lobe"
"JUNB"	2.47924977203519e-13	0.348782370586984	0.589	0.515	8.11656790368879e-09	"Mig"	"JUNB"	"Temporal lobe"
"SHISA9"	2.84195818267533e-13	-0.226282946287774	0.105	0.171	9.30400269844251e-09	"Mig"	"SHISA9"	"Temporal lobe"
"LINC01609"	4.13235314334441e-13	-0.307264075045284	0.143	0.215	1.35284977206809e-08	"Mig"	"LINC01609"	"Temporal lobe"
"SPINK9"	4.21838547030484e-13	-0.316702319298206	0.119	0.186	1.3810150352684e-08	"Mig"	"SPINK9"	"Temporal lobe"
"ACTB"	4.69524667967571e-13	0.189663201868695	0.943	0.929	1.53712985799223e-08	"Mig"	"ACTB"	"Temporal lobe"
"CST3"	5.10395681559642e-13	-0.276353354075018	0.722	0.77	1.67093338228996e-08	"Mig"	"CST3"	"Temporal lobe"
"KLF6"	5.39020912887266e-13	0.280090412876355	0.642	0.577	1.76464666461033e-08	"Mig"	"KLF6"	"Temporal lobe"
"EGR1"	6.55714344402996e-13	0.304679843008456	0.541	0.446	2.14667762070653e-08	"Mig"	"EGR1"	"Temporal lobe"
