"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"
"LRIG1"	2.59957373474944e-09	-0.358103474622417	0.365	0.543	7.62766925250181e-05	"Ast"	"LRIG1"
"CAMK2G"	3.2266515959131e-09	-0.339458492010938	0.646	0.794	9.46764111272823e-05	"Ast"	"CAMK2G"
"ACSS3"	3.44178499266977e-09	-0.319600347038235	0.183	0.336	0.000100988855254916	"Ast"	"ACSS3"
"CSMD3"	3.46449125606153e-09	-0.371724646212906	0.16	0.301	0.000101655102435357	"Ast"	"CSMD3"
"bP-21264C1.2"	4.01917875829112e-09	-0.344052554066664	0.036	0.123	0.000117930743125778	"Ast"	"bP-21264C1.2"
"MT-CO3"	4.14115131208979e-09	-0.374761841437551	0.405	0.595	0.000121509661799339	"Ast"	"MT-CO3"
"RORA"	4.2620352397572e-09	-0.191813327281361	0.939	0.969	0.000125056638004956	"Ast"	"RORA"
"NAV2"	4.71589053241956e-09	-0.274474194373866	0.714	0.854	0.000138373660002255	"Ast"	"NAV2"
"SH3PXD2B"	4.74256261076581e-09	-0.395428170594881	0.167	0.305	0.00013915627212509	"Ast"	"SH3PXD2B"
"AP000797.3"	4.9447000486703e-09	-0.402175745626973	0.079	0.185	0.000145087388828084	"Ast"	"AP000797.3"
"KIF6"	5.08407058405505e-09	-0.415496303619887	0.085	0.193	0.000149176799077343	"Ast"	"KIF6"
"GALNT15"	5.48748226044947e-09	-0.439676798436054	0.061	0.158	0.000161013704486108	"Ast"	"GALNT15"
"NT5C"	5.54074527940988e-09	0.525004152809758	0.122	0.06	0.000162576547988445	"Ast"	"NT5C"
"RPN1"	5.55185968141733e-09	-0.377931796189127	0.086	0.196	0.000162902666772147	"Ast"	"RPN1"
"DCLK1"	5.74871336912471e-09	-0.32482315153099	0.356	0.528	0.000168678747676857	"Ast"	"DCLK1"
"CEBPB"	6.36484940625586e-09	0.638463204360382	0.121	0.059	0.000186757411278359	"Ast"	"CEBPB"
"ZFP36L1"	6.61347849139031e-09	0.543092165207854	0.576	0.559	0.000194052685894374	"Ast"	"ZFP36L1"
"ABCA1"	6.62274166166814e-09	0.450627838724731	0.556	0.53	0.000194324485836667	"Ast"	"ABCA1"
"COL21A1"	6.81738687974605e-09	-0.372916982654025	0.133	0.26	0.000200035765825509	"Ast"	"COL21A1"
"GRIK4"	7.2533577420243e-09	-0.341762512701529	0.147	0.283	0.000212828022866477	"Ast"	"GRIK4"
"C1orf122"	7.52935112525559e-09	0.523626576007838	0.169	0.096	0.00022092622071725	"Ast"	"C1orf122"
"C1orf132"	8.1005869116559e-09	-0.386665751927455	0.063	0.16	0.000237687421161808	"Ast"	"C1orf132"
"GRIK3"	8.16280948357031e-09	-0.348142981896492	0.094	0.206	0.00023951315586692	"Ast"	"GRIK3"
"PRDM16"	8.19622976907664e-09	-0.328334495480041	0.128	0.257	0.000240493773884247	"Ast"	"PRDM16"
"JUNB"	9.2238770470677e-09	0.760036926648426	0.34	0.262	0.00027064700031506	"Ast"	"JUNB"
"STARD13"	1.03277620214503e-08	-0.314016217148466	0.322	0.506	0.000303037193233394	"Ast"	"STARD13"
"TNS1"	1.16730402472971e-08	-0.302672648743096	0.099	0.213	0.000342510346936193	"Ast"	"TNS1"
"ATP1A2"	1.22515208358857e-08	-0.278227856159544	0.7	0.838	0.000359484124366559	"Ast"	"ATP1A2"
"COL16A1"	1.22818122796766e-08	0.445594417724754	0.556	0.523	0.000360372935910269	"Ast"	"COL16A1"
"SLITRK2"	1.28879902849608e-08	0.652778602016652	0.203	0.131	0.000378159410941321	"Ast"	"SLITRK2"
"TMBIM6"	1.30100338776728e-08	-0.274472127819328	0.124	0.249	0.000381740414038675	"Ast"	"TMBIM6"
"CDHR3"	1.32149053552977e-08	-0.327687391551617	0.412	0.593	0.000387751752935145	"Ast"	"CDHR3"
"DOCK3"	1.34601613299563e-08	-0.279707237095447	0.281	0.45	0.000394948053743576	"Ast"	"DOCK3"
"ZHX3"	1.41691534039786e-08	-0.292380767337669	0.423	0.61	0.000415751299179539	"Ast"	"ZHX3"
"CLK1"	1.44300259985441e-08	0.581023752509597	0.34	0.27	0.000423405822849282	"Ast"	"CLK1"
"CNTNAP3"	1.4876376371745e-08	-0.346610080350732	0.072	0.172	0.000436502635499741	"Ast"	"CNTNAP3"
"MIR100HG"	1.85690259723586e-08	-0.293107668563246	0.124	0.247	0.000544852360080947	"Ast"	"MIR100HG"
"RP11-308N19.1"	1.87963740377911e-08	-0.355031253011133	0.04	0.122	0.000551523207016867	"Ast"	"RP11-308N19.1"
"PI4KA"	1.89306696336417e-08	-0.323826326582884	0.167	0.307	0.000555463708390314	"Ast"	"PI4KA"
"NEDD4L"	1.90033370672462e-08	-0.324021083449634	0.156	0.289	0.000557595916227139	"Ast"	"NEDD4L"
"LDLRAD4"	1.98299226751693e-08	-0.287819519969119	0.453	0.643	0.000581849591134818	"Ast"	"LDLRAD4"
"ATG7"	2.31534163260851e-08	-0.340289214689134	0.225	0.381	0.000679367541839989	"Ast"	"ATG7"
"KIAA1217"	2.33600198778367e-08	-0.276398870230148	0.428	0.597	0.000685429703255484	"Ast"	"KIAA1217"
"PPARA"	2.39489872374374e-08	-0.361094578472199	0.131	0.253	0.000702711183520887	"Ast"	"PPARA"
"UPP2"	2.49528790928735e-08	-0.384689408187715	0.131	0.249	0.000732167378343096	"Ast"	"UPP2"
"CAMK1D"	2.82739031331737e-08	-0.337311968428713	0.201	0.348	0.000829612865733582	"Ast"	"CAMK1D"
"ERGIC1"	2.90701779096208e-08	-0.310614823223512	0.058	0.15	0.000852977160224094	"Ast"	"ERGIC1"
"KANSL1"	3.00828373724265e-08	-0.294925640828073	0.261	0.425	0.000882690614181737	"Ast"	"KANSL1"
"MT3"	3.02690347113588e-08	0.507918905915533	0.572	0.545	0.000888154016500689	"Ast"	"MT3"
"SCAPER"	3.36228966627071e-08	-0.336973242102144	0.255	0.413	0.000986563033877151	"Ast"	"SCAPER"
"GREB1L"	3.69657447129871e-08	-0.367296854405446	0.119	0.232	0.00108464888136847	"Ast"	"GREB1L"
"ZBTB7C"	3.73891878439911e-08	-0.361610567260058	0.135	0.254	0.00109707354971839	"Ast"	"ZBTB7C"
"PARD3"	3.77041095862417e-08	-0.236271392772765	0.59	0.781	0.00110631398347951	"Ast"	"PARD3"
"HNRNPDL"	3.85743329725508e-08	0.53266537120367	0.365	0.302	0.00113184807808058	"Ast"	"HNRNPDL"
"ATP1B1"	3.92323082944668e-08	0.554556089964786	0.131	0.07	0.00115115438997625	"Ast"	"ATP1B1"
"BMP7"	3.96384056694743e-08	-0.249628875248812	0.113	0.231	0.00116307009915371	"Ast"	"BMP7"
"LRRN2"	4.12303948591401e-08	-0.353860747221697	0.063	0.154	0.00120978224595689	"Ast"	"LRRN2"
"GAS7"	4.46560263316341e-08	-0.290839096419818	0.076	0.174	0.00131029712462281	"Ast"	"GAS7"
"NUTM2A-AS1"	4.5006969592526e-08	-0.318502434729245	0.124	0.243	0.0013205945017839	"Ast"	"NUTM2A-AS1"
"TRAPPC9"	4.60782289723325e-08	-0.31892826718982	0.173	0.307	0.00135202739450618	"Ast"	"TRAPPC9"
"PHACTR1"	5.11399668090827e-08	-0.303254294515034	0.112	0.225	0.0015005489061121	"Ast"	"PHACTR1"
"GJA1"	5.31862853935505e-08	-0.254823230404954	0.54	0.706	0.00156059198601756	"Ast"	"GJA1"
"PXDN"	5.39409078196728e-08	0.553643968772321	0.198	0.126	0.00158273411724484	"Ast"	"PXDN"
"DHFR"	5.50715251562563e-08	-0.391040391230827	0.029	0.101	0.00161590869113487	"Ast"	"DHFR"
