"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"MIR3945HG"	0.00104888675605745	-0.683041602386879	0.062	0.292	1	"Ast"	"MIR3945HG"	"40-60"
"EEF1A1"	0.00116710647633779	0.623900857200469	0.979	1	1	"Ast"	"EEF1A1"	"40-60"
"THAP9-AS1"	0.00119790863955985	-0.29957574033865	0.093	0.375	1	"Ast"	"THAP9-AS1"	"40-60"
"CH25H"	0.0012257259571176	-1.2668537775058	0.093	0.333	1	"Ast"	"CH25H"	"40-60"
"TNRC18"	0.00122611545877389	-0.683908743357444	0.134	0.417	1	"Ast"	"TNRC18"	"40-60"
"SAV1"	0.00122611545877389	-0.77864927387607	0.134	0.417	1	"Ast"	"SAV1"	"40-60"
"IL4R"	0.00123083070348036	-1.023178787903	0.206	0.542	1	"Ast"	"IL4R"	"40-60"
"RAB3IL1"	0.00129713933890407	-0.410334502633345	0.062	0.292	1	"Ast"	"RAB3IL1"	"40-60"
"APP"	0.00132176620697473	-1.05404702108864	0.186	0.5	1	"Ast"	"APP"	"40-60"
"LATS2"	0.00141082671023618	-0.14196738111045	0.062	0.292	1	"Ast"	"LATS2"	"40-60"
"LITAF"	0.00141258864892031	-0.839533689907004	0.546	0.792	1	"Ast"	"LITAF"	"40-60"
"PPP2R2A"	0.00146203591964417	-0.712859793088638	0.175	0.5	1	"Ast"	"PPP2R2A"	"40-60"
"SEMA6B"	0.0016527826983498	-0.391696317325525	0.031	0.208	1	"Ast"	"SEMA6B"	"40-60"
"SOD2"	0.00165283629944662	-0.891774699196296	0.856	0.917	1	"Ast"	"SOD2"	"40-60"
"DDX5"	0.00167174129620909	-0.747408065568487	0.938	0.958	1	"Ast"	"DDX5"	"40-60"
"FCGR3A"	0.00167761126552947	-1.15390823343199	0.701	0.792	1	"Ast"	"FCGR3A"	"40-60"
"MYO1G"	0.00168202100531494	-0.384382622631427	0.082	0.333	1	"Ast"	"MYO1G"	"40-60"
"NUDT4"	0.00170224759670639	-1.28760552152444	0.134	0.417	1	"Ast"	"NUDT4"	"40-60"
"TMEM102"	0.00174012558360982	-0.769868855363087	0.031	0.208	1	"Ast"	"TMEM102"	"40-60"
"AGPAT3"	0.00174349429059352	-0.272053228864041	0.103	0.375	1	"Ast"	"AGPAT3"	"40-60"
