"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"disease"
"CCND1"	0.0388448028444557	1.20992255004307	0.5	0	1	"Ast"	"CCND1"	"40-60"	"N"
"SAR1A"	0.0388448028444557	1.20394294912001	0.5	0	1	"Ast"	"SAR1A"	"40-60"	"N"
"VDAC2"	0.0388448028444557	1.18868337095529	0.5	0	1	"Ast"	"VDAC2"	"40-60"	"N"
"TNKS2"	0.0388448028444557	1.92898506617209	0.5	0	1	"Ast"	"TNKS2"	"40-60"	"N"
"ARL3"	0.0388448028444557	1.11475291750329	0.5	0	1	"Ast"	"ARL3"	"40-60"	"N"
"SPATA13"	0.0388448028444557	1.33842929686064	0.5	0	1	"Ast"	"SPATA13"	"40-60"	"N"
"NBEA"	0.0388448028444557	1.00770757050924	0.5	0	1	"Ast"	"NBEA"	"40-60"	"N"
"PRPF39"	0.0388448028444557	1.21760378004146	0.5	0	1	"Ast"	"PRPF39"	"40-60"	"N"
"TMED8"	0.0388448028444557	1.16843458625456	0.5	0	1	"Ast"	"TMED8"	"40-60"	"N"
"AQR"	0.0388448028444557	1.03882674702106	0.5	0	1	"Ast"	"AQR"	"40-60"	"N"
"WDR73"	0.0388448028444557	0.928243123035795	0.5	0	1	"Ast"	"WDR73"	"40-60"	"N"
"VPS53"	0.0388448028444557	1.14001568952634	0.5	0	1	"Ast"	"VPS53"	"40-60"	"N"
"AC091271.1"	0.0388448028444557	1.92148402637263	0.5	0	1	"Ast"	"AC091271.1"	"40-60"	"N"
"ZNF532"	0.0388448028444557	1.10960354627748	0.5	0	1	"Ast"	"ZNF532"	"40-60"	"N"
"CACNA1A"	0.0388448028444557	1.10573523745333	0.5	0	1	"Ast"	"CACNA1A"	"40-60"	"N"
"TRIM28"	0.0388448028444557	1.33842929686064	0.5	0	1	"Ast"	"TRIM28"	"40-60"	"N"
"RTCB"	0.0388448028444557	0.903812244565101	0.5	0	1	"Ast"	"RTCB"	"40-60"	"N"
"TGFBR1"	0.040704704366032	1.39923255839438	0.833	0.5	1	"Ast"	"TGFBR1"	"40-60"	"N"
"PTTG1IP"	0.040704704366032	-1.57654103843445	0.333	0.875	1	"Ast"	"PTTG1IP"	"40-60"	"N"
"NEK7"	0.0422400458194615	1.70864614928249	0.667	0.125	1	"Ast"	"NEK7"	"40-60"	"N"
"IK"	0.0422400458194615	1.03463775209521	0.667	0.125	1	"Ast"	"IK"	"40-60"	"N"
"ARHGAP4"	0.0422400458194615	0.967305776977425	0.667	0.125	1	"Ast"	"ARHGAP4"	"40-60"	"N"
"SLC31A2"	0.0422400458194615	1.5825835186146	0.667	0.125	1	"Ast"	"SLC31A2"	"40-60"	"N"
"RAPGEF1"	0.0422400458194615	1.09926096177766	0.667	0.125	1	"Ast"	"RAPGEF1"	"40-60"	"N"
"PIGT"	0.0422400458194615	1.0948095408083	0.667	0.125	1	"Ast"	"PIGT"	"40-60"	"N"
"NUCKS1"	0.0430319145234842	-1.31862828202961	0.333	1	1	"Ast"	"NUCKS1"	"40-60"	"N"
"UTRN"	0.0438455416601764	-1.00013204564129	0.167	0.875	1	"Ast"	"UTRN"	"40-60"	"N"
"SYNRG"	0.0438455416601764	-1.26853325867447	0.167	0.875	1	"Ast"	"SYNRG"	"40-60"	"N"
"RAC1"	0.0444422391030572	-1.36166759804912	0.5	1	1	"Ast"	"RAC1"	"40-60"	"N"
"NAP1L1"	0.0444422391030572	-0.797722085047435	0.667	0.875	1	"Ast"	"NAP1L1"	"40-60"	"N"
"SGK1"	0.0453879290387944	1.93462322629134	0.833	1	1	"Ast"	"SGK1"	"40-60"	"N"
"ITSN2"	0.0456089348542617	1.04874347833125	0.833	0.25	1	"Ast"	"ITSN2"	"40-60"	"N"
"RWDD1"	0.0456089348542617	-1.29622798656025	0.167	0.75	1	"Ast"	"RWDD1"	"40-60"	"N"
"BMP2K"	0.0502148632044416	1.14584447079997	0.833	0.625	1	"Ast"	"BMP2K"	"40-60"	"N"
"ZFC3H1"	0.0513696359550474	-1.4294913213349	0.333	0.75	1	"Ast"	"ZFC3H1"	"40-60"	"N"
"TRIM56"	0.0535960582476003	1.91208110160466	0.667	0.25	1	"Ast"	"TRIM56"	"40-60"	"N"
"SLC2A3"	0.0535960582476003	2.30084931105534	0.667	0.25	1	"Ast"	"SLC2A3"	"40-60"	"N"
"SELENOS"	0.0535960582476003	1.94908662537641	0.667	0.25	1	"Ast"	"SELENOS"	"40-60"	"N"
"WASF2"	0.0555573817101072	-0.908363420670509	0.333	0.875	1	"Ast"	"WASF2"	"40-60"	"N"
"MTCH1"	0.0555573817101072	-1.09852815080677	0.333	0.875	1	"Ast"	"MTCH1"	"40-60"	"N"
"VSIG4"	0.0555573817101072	-1.88368656036785	0.5	0.75	1	"Ast"	"VSIG4"	"40-60"	"N"
"EDF1"	0.0555573817101072	-1.36970297072604	0.333	0.875	1	"Ast"	"EDF1"	"40-60"	"N"
"EIF3F"	0.0555573817101072	-0.908556462212781	0.333	0.875	1	"Ast"	"EIF3F"	"40-60"	"N"
"ATM"	0.0555573817101072	-1.50302875662468	0.333	0.875	1	"Ast"	"ATM"	"40-60"	"N"
"PPP1R10"	0.059945605070944	1.27921224310998	0.833	0.375	1	"Ast"	"PPP1R10"	"40-60"	"N"
"USP16"	0.059945605070944	1.02866612728529	0.833	0.375	1	"Ast"	"USP16"	"40-60"	"N"
"FCGR1B"	0.0600138253454182	0.924364260031269	0.667	0.125	1	"Ast"	"FCGR1B"	"40-60"	"N"
"PPIP5K2"	0.0600138253454182	1.50451246779048	0.667	0.125	1	"Ast"	"PPIP5K2"	"40-60"	"N"
"IRF1"	0.0600138253454182	2.88616069772703	0.667	0.125	1	"Ast"	"IRF1"	"40-60"	"N"
"SLC17A9"	0.0600138253454182	1.01821673419974	0.667	0.125	1	"Ast"	"SLC17A9"	"40-60"	"N"
"RBM39"	0.0600774306865849	-0.798301071478915	0.667	0.875	1	"Ast"	"RBM39"	"40-60"	"N"
"HLA-DMB"	0.0609300906349291	-0.921511525694308	0.667	1	1	"Ast"	"HLA-DMB"	"40-60"	"N"
"PKN2"	0.0627254066919078	-1.09075665324321	0.167	0.75	1	"Ast"	"PKN2"	"40-60"	"N"
"COX20"	0.0627254066919078	-1.06055310118583	0.167	0.75	1	"Ast"	"COX20"	"40-60"	"N"
"BAZ2B"	0.0627254066919078	-1.24100789900695	0.167	0.75	1	"Ast"	"BAZ2B"	"40-60"	"N"
"C4orf3"	0.0627254066919078	-1.36927512244262	0.167	0.75	1	"Ast"	"C4orf3"	"40-60"	"N"
"EMILIN2"	0.0627254066919078	-1.05359084575498	0.167	0.75	1	"Ast"	"EMILIN2"	"40-60"	"N"
"PKN1"	0.0627254066919078	-1.14888927576595	0.167	0.75	1	"Ast"	"PKN1"	"40-60"	"N"
"H6PD"	0.0629364546062142	-1.18891332769476	0	0.5	1	"Ast"	"H6PD"	"40-60"	"N"
"RLF"	0.0629364546062142	-0.963599219036296	0	0.5	1	"Ast"	"RLF"	"40-60"	"N"
"HYI"	0.0629364546062142	-1.17952763874749	0	0.5	1	"Ast"	"HYI"	"40-60"	"N"
"NBPF19"	0.0629364546062142	-1.28669106816928	0	0.5	1	"Ast"	"NBPF19"	"40-60"	"N"
"POGZ"	0.0629364546062142	-0.618328469596681	0	0.5	1	"Ast"	"POGZ"	"40-60"	"N"
"S100A10"	0.0629364546062142	-1.42649077362659	0	0.5	1	"Ast"	"S100A10"	"40-60"	"N"
"S100A8"	0.0629364546062142	-1.33139123358532	0	0.5	1	"Ast"	"S100A8"	"40-60"	"N"
"HAX1"	0.0629364546062142	-1.40413555330115	0	0.5	1	"Ast"	"HAX1"	"40-60"	"N"
"TATDN3"	0.0629364546062142	-0.978134370686942	0	0.5	1	"Ast"	"TATDN3"	"40-60"	"N"
"SIPA1L2"	0.0629364546062142	-1.17909985085154	0	0.5	1	"Ast"	"SIPA1L2"	"40-60"	"N"
