"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"PSTPIP2"	2.15569840878108e-09	-0.649702266599199	0.155	0.472	7.20736205991865e-05	"Ast"	"PSTPIP2"	"GBM"
"MAML2"	2.67064742605565e-09	-0.676903701370777	0.33	0.638	8.92904260427445e-05	"Ast"	"MAML2"	"GBM"
"MT-ATP6"	2.70115125455999e-09	-0.441274279212647	1	0.994	9.03102910449587e-05	"Ast"	"MT-ATP6"	"GBM"
"ARMH1"	3.72865854683017e-09	0.252460648958505	0.155	0.039	0.00012466396985472	"Ast"	"ARMH1"	"GBM"
"ATP1B3"	3.95423816301321e-09	-0.627211977992157	0.619	0.866	0.000132205998742184	"Ast"	"ATP1B3"	"GBM"
"NFKBIZ"	4.09571761955455e-09	-0.669673243447727	0.454	0.743	0.000136936222892187	"Ast"	"NFKBIZ"	"GBM"
"TAOK3"	4.36970003185416e-09	-0.497901356251998	0.526	0.806	0.000146096550865012	"Ast"	"TAOK3"	"GBM"
"CD44"	5.56339245718795e-09	-0.761448716452118	0.423	0.717	0.000186006463413622	"Ast"	"CD44"	"GBM"
"SLC48A1"	5.6068571497641e-09	0.449081066698869	0.237	0.083	0.000187459661945213	"Ast"	"SLC48A1"	"GBM"
"DAPK1"	6.14006674939228e-09	-0.468748763163719	0.103	0.416	0.000205286991699182	"Ast"	"DAPK1"	"GBM"
"NDUFA3"	6.37180850743683e-09	-0.566645666327661	0.433	0.716	0.000213035045637643	"Ast"	"NDUFA3"	"GBM"
"BCL2A1"	9.32192395929407e-09	-0.856859746451608	0.495	0.764	0.000311669205655038	"Ast"	"BCL2A1"	"GBM"
"PTGER4"	9.89472920319391e-09	-0.586059422546385	0.33	0.674	0.000330820376179585	"Ast"	"PTGER4"	"GBM"
"SFTPC"	1.05365397126408e-08	-0.482972491198852	0	0.258	0.000352278668752431	"Ast"	"SFTPC"	"GBM"
"NDUFC1"	1.18775572357367e-08	-0.576764830367548	0.237	0.546	0.000397114248619622	"Ast"	"NDUFC1"	"GBM"
"REX1BD"	1.29211024232081e-08	-0.521034995009285	0.423	0.69	0.00043200413841754	"Ast"	"REX1BD"	"GBM"
"ATP5F1E"	1.30832539466257e-08	-0.455644079999464	0.856	0.954	0.000437425512451483	"Ast"	"ATP5F1E"	"GBM"
"SNRPE"	1.68292642917998e-08	-0.510486451194138	0.186	0.479	0.000562669622332034	"Ast"	"SNRPE"	"GBM"
"ROMO1"	1.99399848865971e-08	-0.616602835394177	0.361	0.623	0.000666673454698488	"Ast"	"ROMO1"	"GBM"
"CFLAR"	2.07565049009694e-08	-0.647504928560664	0.66	0.857	0.000693972984859011	"Ast"	"CFLAR"	"GBM"
"TMA7"	2.29941393484692e-08	-0.555617584186645	0.608	0.85	0.00076878605497672	"Ast"	"TMA7"	"GBM"
"SOD2"	2.47319402243857e-08	-0.544702946069866	0.856	0.947	0.000826887689462111	"Ast"	"SOD2"	"GBM"
"SAMSN1"	2.52749003596801e-08	-0.655628279503763	0.588	0.81	0.000845041018625544	"Ast"	"SAMSN1"	"GBM"
"NCOA4"	2.55562173627496e-08	-0.555836933996943	0.485	0.762	0.000854446571306169	"Ast"	"NCOA4"	"GBM"
"CYB5D1"	2.97036407449493e-08	-0.57443405633326	0.134	0.41	0.000993111524666636	"Ast"	"CYB5D1"	"GBM"
"TUBA1B"	4.00278464387836e-08	-0.442358790292562	0.784	0.932	0.00133829101783429	"Ast"	"TUBA1B"	"GBM"
"SLIRP"	4.40989482795711e-08	-0.448580354449111	0.289	0.583	0.00147440423677918	"Ast"	"SLIRP"	"GBM"
"CST3"	4.50941297190456e-08	-0.451992146460998	0.866	0.979	0.00150767713302657	"Ast"	"CST3"	"GBM"
"ATP5ME"	4.68629389419364e-08	-0.468598409923619	0.567	0.826	0.0015668155005847	"Ast"	"ATP5ME"	"GBM"
"LITAF"	5.035448968563e-08	-0.535826567825668	0.546	0.809	0.00168355200814935	"Ast"	"LITAF"	"GBM"
"NDUFB1"	5.42424363728409e-08	-0.484014196599403	0.454	0.737	0.00181354161768956	"Ast"	"NDUFB1"	"GBM"
"DAB2"	6.00428881206623e-08	-0.475210526594971	0.68	0.897	0.00200747392142622	"Ast"	"DAB2"	"GBM"
"AL136987.1"	6.66920677646457e-08	-0.905323337694676	0.093	0.361	0.00222978259364316	"Ast"	"AL136987.1"	"GBM"
"SERPINA1"	6.85513892660754e-08	-0.504124676011662	0.505	0.786	0.00229194714872197	"Ast"	"SERPINA1"	"GBM"
"NR4A3"	8.07756205990551e-08	-0.457769681620226	0.433	0.758	0.00270065209910881	"Ast"	"NR4A3"	"GBM"
"CREM"	9.04860351130684e-08	-0.625015719386204	0.299	0.602	0.00302531009797033	"Ast"	"CREM"	"GBM"
"CXCR4"	1.06903426023763e-07	-0.494666809192855	0.505	0.821	0.00357420914567849	"Ast"	"CXCR4"	"GBM"
"ABL2"	1.06949864000648e-07	-0.660339446378898	0.443	0.714	0.00357576175299767	"Ast"	"ABL2"	"GBM"
"TMIGD3"	1.1431728110775e-07	-0.629034062827371	0.289	0.581	0.00382208397655651	"Ast"	"TMIGD3"	"GBM"
"S100A4"	1.1737088509599e-07	-0.67849384851514	0.711	0.892	0.00392417817229933	"Ast"	"S100A4"	"GBM"
"PET100"	1.18377865853622e-07	-0.414332965261664	0.278	0.556	0.00395784556695001	"Ast"	"PET100"	"GBM"
"CREG1"	1.22642423459309e-07	0.793004763797888	0.753	0.76	0.00410042678593854	"Ast"	"CREG1"	"GBM"
"OLR1"	1.34485133126951e-07	-0.677770365079075	0.711	0.883	0.00449637594096648	"Ast"	"OLR1"	"GBM"
"NLRP3"	1.40187536394178e-07	-0.60838584413342	0.237	0.518	0.00468703009180296	"Ast"	"NLRP3"	"GBM"
"DPYSL2"	1.64836131379875e-07	-0.419400939470764	0.557	0.774	0.00551113121655473	"Ast"	"DPYSL2"	"GBM"
"PLAUR"	1.67101628320049e-07	-0.624167401237267	0.402	0.688	0.00558687584125252	"Ast"	"PLAUR"	"GBM"
"KCNMA1"	1.68586933816845e-07	-0.590077338746838	0.206	0.501	0.0056365355452324	"Ast"	"KCNMA1"	"GBM"
"TES"	1.83044169064319e-07	-0.586675456810383	0.186	0.436	0.00611989874849642	"Ast"	"TES"	"GBM"
"ERAP2"	1.91929136708185e-07	-0.444806753452687	0.031	0.275	0.00641695875670145	"Ast"	"ERAP2"	"GBM"
"MTRNR2L12"	2.14953662208669e-07	-0.497833272128516	0.619	0.861	0.00718676074228463	"Ast"	"MTRNR2L12"	"GBM"
"CLEC4E"	2.4307829398347e-07	-0.567356492671838	0.072	0.325	0.00812707968104333	"Ast"	"CLEC4E"	"GBM"
"ABHD5"	2.47478698309923e-07	-0.355057509700147	0.34	0.647	0.00827420279929397	"Ast"	"ABHD5"	"GBM"
"PLEC"	2.67209184189122e-07	-0.536431179249629	0.351	0.614	0.0089338718641791	"Ast"	"PLEC"	"GBM"
"TMEM176B"	3.22418439504876e-07	-0.581593049205341	0.505	0.765	0.010779738106406	"Ast"	"TMEM176B"	"GBM"
"UBL3"	3.50184174617147e-07	-0.558489149752566	0.536	0.739	0.0117080576941497	"Ast"	"UBL3"	"GBM"
"NUFIP2"	3.57333288779533e-07	-0.409743175942542	0.474	0.773	0.0119470811770549	"Ast"	"NUFIP2"	"GBM"
"GNAQ"	3.75344370563235e-07	-0.227851334837189	0.526	0.794	0.0125492636854112	"Ast"	"GNAQ"	"GBM"
"TYMP"	3.7887137244126e-07	-0.489557701526228	0.639	0.884	0.0126671854662011	"Ast"	"TYMP"	"GBM"
"CKB"	4.07350093879894e-07	-0.544587301751652	0.082	0.337	0.0136193430387804	"Ast"	"CKB"	"GBM"
"POLR2J3.1"	4.15221083875527e-07	0.835057733087103	0.567	0.391	0.0138825017182944	"Ast"	"POLR2J3.1"	"GBM"
"LCP2"	4.41989476805183e-07	-0.418867101222939	0.505	0.734	0.0147774761675045	"Ast"	"LCP2"	"GBM"
"CD48"	5.08000434541916e-07	-0.340356921800165	0.175	0.421	0.0169844865284744	"Ast"	"CD48"	"GBM"
"IL18"	5.15895512901022e-07	-0.403916260182346	0.701	0.894	0.0172484505783328	"Ast"	"IL18"	"GBM"
"MRPL3"	5.17550404712633e-07	-0.489951952989338	0.216	0.474	0.0173037802311622	"Ast"	"MRPL3"	"GBM"
"IL1A"	5.19515447152016e-07	-0.592780111794452	0.144	0.414	0.0173694794600805	"Ast"	"IL1A"	"GBM"
"PLCG2"	5.20647525999335e-07	-0.778571238208957	0.402	0.686	0.0174073293842618	"Ast"	"PLCG2"	"GBM"
"UCP2"	5.47774123035481e-07	0.811350244274755	0.629	0.501	0.0183142800295683	"Ast"	"UCP2"	"GBM"
"AC092683.1"	5.68565615872096e-07	-0.539599383219474	0.165	0.434	0.0190094228010677	"Ast"	"AC092683.1"	"GBM"
"DNAJA1"	5.92468402295387e-07	-0.417971209998504	0.742	0.872	0.019808588562344	"Ast"	"DNAJA1"	"GBM"
"MMRN1"	6.29325660243328e-07	0.24609902499141	0.155	0.048	0.0210408741245754	"Ast"	"MMRN1"	"GBM"
"PSME4"	6.75040258977826e-07	-0.532735218594427	0.32	0.6	0.0225692960186646	"Ast"	"PSME4"	"GBM"
"PAPOLG"	7.00187917972859e-07	-0.435404119349735	0.103	0.368	0.0234100828495046	"Ast"	"PAPOLG"	"GBM"
"TGFBR2"	7.32978694889052e-07	-0.42065307198597	0.495	0.724	0.0245064096849205	"Ast"	"TGFBR2"	"GBM"
"CSNK1D"	9.25148891895774e-07	-0.441378805000519	0.165	0.424	0.0309314280516433	"Ast"	"CSNK1D"	"GBM"
"KLF7"	9.58069946619631e-07	-0.379516373132743	0.247	0.531	0.0320321105952808	"Ast"	"KLF7"	"GBM"
"SCIMP"	1.00223574547978e-06	-0.475955990577417	0.278	0.523	0.0335087499143711	"Ast"	"SCIMP"	"GBM"
"WDR74"	1.01754083432283e-06	-0.496737301672597	0.082	0.314	0.0340204602547495	"Ast"	"WDR74"	"GBM"
"MTRNR2L8"	1.12176101232897e-06	-0.445875391681782	0.299	0.583	0.0375049576862068	"Ast"	"MTRNR2L8"	"GBM"
"HBB"	1.12559265642525e-06	-0.385268488478819	0	0.199	0.037633064874922	"Ast"	"HBB"	"GBM"
"DDX21"	1.20557318379999e-06	-0.436985933387714	0.505	0.758	0.040307133827169	"Ast"	"DDX21"	"GBM"
"SKIL"	1.35933717865926e-06	-0.323221757748234	0.598	0.829	0.0454480792312938	"Ast"	"SKIL"	"GBM"
"KLHL15"	1.41601794537556e-06	-0.460722367640567	0.031	0.24	0.0473431439856866	"Ast"	"KLHL15"	"GBM"
"HSP90AA1"	1.45171349952873e-06	1.04846967130139	0.979	0.992	0.0485365891432434	"Ast"	"HSP90AA1"	"GBM"
"ABCG1"	1.63065580888011e-06	-0.250380642174322	0.196	0.465	0.0545193463140977	"Ast"	"ABCG1"	"GBM"
"ANXA1"	1.6666963293441e-06	-0.181085012468612	0.464	0.76	0.0557243250752905	"Ast"	"ANXA1"	"GBM"
"MRPL33"	1.81897357854323e-06	-0.470106777005148	0.227	0.489	0.0608155626250144	"Ast"	"MRPL33"	"GBM"
"GSTP1"	1.89106333894144e-06	0.628734055358872	0.773	0.79	0.063225811674168	"Ast"	"GSTP1"	"GBM"
"LILRA1"	1.93388826193341e-06	-0.350284577778234	0.01	0.21	0.0646576201494818	"Ast"	"LILRA1"	"GBM"
"COX20"	2.20333549861248e-06	-0.448755553973282	0.227	0.477	0.0736663190606098	"Ast"	"COX20"	"GBM"
"YWHAZ"	2.25729112097414e-06	-0.275164969162683	0.546	0.808	0.0754702713386493	"Ast"	"YWHAZ"	"GBM"
"POLR2L"	2.35805511880414e-06	-0.472489914921751	0.412	0.716	0.0788392148420976	"Ast"	"POLR2L"	"GBM"
"KLHL6"	2.37123858933581e-06	-0.477925078462966	0.227	0.49	0.0792799909958536	"Ast"	"KLHL6"	"GBM"
