"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"RANBP3L"	1.70829535432847e-26	0.545831188784182	0.314	0.075	5.73833492472477e-22	"Mig"	"RANBP3L"	"70-80"	"male"
"RORA-AS1"	1.86514771555821e-26	1.23797330781755	0.186	0.005	6.26521769133159e-22	"Mig"	"RORA-AS1"	"70-80"	"male"
"CRLF3"	2.91764881342929e-26	1.05511935560183	0.202	0.015	9.80067412919032e-22	"Mig"	"CRLF3"	"70-80"	"male"
"ETNPPL"	4.08579514030956e-26	0.977999468483141	0.236	0.033	1.37245944558139e-21	"Mig"	"ETNPPL"	"70-80"	"male"
"ARHGAP5"	4.31133940478678e-26	0.636208463031532	0.266	0.049	1.44822201946193e-21	"Mig"	"ARHGAP5"	"70-80"	"male"
"PREX2"	4.8682536334946e-26	0.356166797348901	0.439	0.147	1.63529507802717e-21	"Mig"	"PREX2"	"70-80"	"male"
"ZFAND3"	5.7829350303515e-26	0.504863567215418	0.296	0.065	1.94254570604537e-21	"Mig"	"ZFAND3"	"70-80"	"male"
"AHCYL2"	6.87242397967432e-26	0.313227676011838	0.425	0.138	2.3085159390124e-21	"Mig"	"AHCYL2"	"70-80"	"male"
"PRKG1"	1.05204096000405e-25	0.450999424229234	0.519	0.204	3.53391078874959e-21	"Mig"	"PRKG1"	"70-80"	"male"
"LRP4-AS1"	1.40864909065055e-25	1.26180027763785	0.169	0	4.73179316040426e-21	"Mig"	"LRP4-AS1"	"70-80"	"male"
"TMSB4X"	1.66262790956986e-25	0.751679385052899	0.286	0.064	5.58493341103612e-21	"Mig"	"TMSB4X"	"70-80"	"male"
"BIRC6-AS2"	2.05348950651958e-25	1.27031802170842	0.168	0	6.89787660134992e-21	"Mig"	"BIRC6-AS2"	"70-80"	"male"
"ABI1"	2.74980234054244e-25	0.717137282209746	0.232	0.033	9.2368610421161e-21	"Mig"	"ABI1"	"70-80"	"male"
"SIK3"	2.75060090077196e-25	0.292536054552558	0.451	0.155	9.23954348578309e-21	"Mig"	"SIK3"	"70-80"	"male"
"NUMB"	3.02914415255155e-25	0.566523961455419	0.278	0.058	1.01751981228359e-20	"Mig"	"NUMB"	"70-80"	"male"
"RAB11A"	3.72453614846808e-25	0.613568295325036	0.267	0.053	1.25110893763191e-20	"Mig"	"RAB11A"	"70-80"	"male"
"KNOP1"	4.48201612457998e-25	1.24236191688527	0.177	0.005	1.50555403640766e-20	"Mig"	"KNOP1"	"70-80"	"male"
"GNA14-AS1"	5.11818707079391e-25	1.09112734665908	0.192	0.013	1.71925021895038e-20	"Mig"	"GNA14-AS1"	"70-80"	"male"
"ARGLU1"	5.32673509469215e-25	0.717268754556984	0.236	0.036	1.78930358565804e-20	"Mig"	"ARGLU1"	"70-80"	"male"
"ARHGAP21"	7.23641945136284e-25	0.581190668878639	0.271	0.056	2.43078565790729e-20	"Mig"	"ARHGAP21"	"70-80"	"male"
"FAM155A"	8.14024848590872e-25	0.39179013958449	0.588	0.249	2.7343908689016e-20	"Mig"	"FAM155A"	"70-80"	"male"
"PTK2"	1.02485053434201e-24	0.239716996201128	0.338	0.093	3.44257542990824e-20	"Mig"	"PTK2"	"70-80"	"male"
"FAM171B"	1.1836802552246e-24	0.683502270021163	0.269	0.056	3.97610034532494e-20	"Mig"	"FAM171B"	"70-80"	"male"
"ZSWIM6"	1.81092290575442e-24	0.342840643374476	0.411	0.136	6.08307113271966e-20	"Mig"	"ZSWIM6"	"70-80"	"male"
"PPP1R9A"	2.16736965021425e-24	0.502731662199044	0.326	0.089	7.28041139203469e-20	"Mig"	"PPP1R9A"	"70-80"	"male"
"REV3L"	2.77032122349383e-24	0.339962215309873	0.344	0.098	9.30578602183811e-20	"Mig"	"REV3L"	"70-80"	"male"
"ZNF350-AS1"	3.6866779914895e-24	0.981375585576148	0.176	0.007	1.23839200412124e-19	"Mig"	"ZNF350-AS1"	"70-80"	"male"
"ENTPD1-AS1"	4.33075908851484e-24	0.405680835357082	0.313	0.082	1.45474528542302e-19	"Mig"	"ENTPD1-AS1"	"70-80"	"male"
"DDIT4"	4.3987455141668e-24	1.00235912005231	0.216	0.029	1.47758260566377e-19	"Mig"	"DDIT4"	"70-80"	"male"
"LRRC7"	4.43180717682444e-24	0.916272209791327	0.216	0.029	1.4886883487671e-19	"Mig"	"LRRC7"	"70-80"	"male"
"SGCD"	4.50011777184652e-24	0.360702800825988	0.376	0.118	1.51163456074096e-19	"Mig"	"SGCD"	"70-80"	"male"
"MEF2C-AS1"	4.654277559154e-24	0.700149600472462	0.25	0.047	1.56341837489542e-19	"Mig"	"MEF2C-AS1"	"70-80"	"male"
"NCKAP5"	4.83870002469503e-24	0.358670361111763	0.36	0.109	1.62536772529531e-19	"Mig"	"NCKAP5"	"70-80"	"male"
"RP11-1000B6.3"	5.42998369298627e-24	0.686485202296891	0.217	0.029	1.82398582231102e-19	"Mig"	"RP11-1000B6.3"	"70-80"	"male"
"REPS1"	5.85493269014761e-24	0.509375007531269	0.257	0.051	1.96673043994748e-19	"Mig"	"REPS1"	"70-80"	"male"
"SAT1"	6.65953793888389e-24	0.924820030161589	0.225	0.035	2.23700538905049e-19	"Mig"	"SAT1"	"70-80"	"male"
"GLUD1"	6.94504744177837e-24	0.323562668301955	0.319	0.085	2.33291088616777e-19	"Mig"	"GLUD1"	"70-80"	"male"
"ITPR2"	6.98203213689777e-24	0.376762165936696	0.429	0.151	2.34533441510533e-19	"Mig"	"ITPR2"	"70-80"	"male"
"AP000487.6"	9.27415861580398e-24	0.755657362348508	0.205	0.024	3.11528262063472e-19	"Mig"	"AP000487.6"	"70-80"	"male"
"NTRK2"	9.9318280802469e-24	0.410613928782966	0.62	0.275	3.33620037043574e-19	"Mig"	"NTRK2"	"70-80"	"male"
"H3F3B"	1.58179142340612e-23	1.04307600591895	0.199	0.022	5.31339557036349e-19	"Mig"	"H3F3B"	"70-80"	"male"
"BMP2K"	2.40503405310807e-23	0.883270816855912	0.205	0.025	8.07874988779531e-19	"Mig"	"BMP2K"	"70-80"	"male"
"PON2"	3.22309332511905e-23	0.444217168382965	0.3	0.078	1.08266927884074e-18	"Mig"	"PON2"	"70-80"	"male"
"TCF24"	4.00620639041575e-23	1.03193093717861	0.165	0.005	1.34572478860456e-18	"Mig"	"TCF24"	"70-80"	"male"
"SPATA6"	4.04312862122328e-23	0.700585510216312	0.218	0.033	1.35812733515511e-18	"Mig"	"SPATA6"	"70-80"	"male"
"FTL"	4.80628369997491e-23	0.534576385177201	0.386	0.131	1.61447875765857e-18	"Mig"	"FTL"	"70-80"	"male"
"TCF12"	4.87199765007059e-23	0.597117194351642	0.27	0.062	1.63655273063521e-18	"Mig"	"TCF12"	"70-80"	"male"
"ARHGEF12"	1.16601745649941e-22	0.426555350513318	0.268	0.062	3.91676923812717e-18	"Mig"	"ARHGEF12"	"70-80"	"male"
"RP11-561I11.4"	1.52669333945001e-22	1.30874278140409	0.151	0	5.12831559654654e-18	"Mig"	"RP11-561I11.4"	"70-80"	"male"
"BRAF"	1.55558146270148e-22	0.514122509319069	0.211	0.031	5.22535369136056e-18	"Mig"	"BRAF"	"70-80"	"male"
"PNISR"	1.74494613281258e-22	0.212020427546583	0.431	0.155	5.86144855473073e-18	"Mig"	"PNISR"	"70-80"	"male"
