"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"MTERF1"	1.25866397399607e-05	0.773267913533822	0.124	0.053	0.387567810872871	"Ast"	"MTERF1"	"20-40"
"ZCCHC11"	1.59394622697442e-05	0.538440955931754	0.259	0.154	0.490807922209965	"Ast"	"ZCCHC11"	"20-40"
"SCAPER"	1.82683814503379e-05	0.410045882061283	0.357	0.233	0.562520001618804	"Ast"	"SCAPER"	"20-40"
"TAB2"	1.83599029957442e-05	0.486492989457774	0.2	0.106	0.565338133044957	"Ast"	"TAB2"	"20-40"
"SLC24A3"	2.14958428308829e-05	0.580985407908629	0.218	0.123	0.661899992448547	"Ast"	"SLC24A3"	"20-40"
"CHD6"	2.47545850211457e-05	0.526401715141482	0.22	0.124	0.762243181971119	"Ast"	"CHD6"	"20-40"
"STXBP6"	2.76649481724194e-05	0.465449742614845	0.18	0.093	0.851859084125139	"Ast"	"STXBP6"	"20-40"
"PHACTR3"	2.82121872895392e-05	0.442699574516696	0.331	0.216	0.868709671019492	"Ast"	"PHACTR3"	"20-40"
"ITPR2"	3.35421210184391e-05	0.363063749519259	0.535	0.408	1	"Ast"	"ITPR2"	"20-40"
"NTRK2"	3.61983529307153e-05	0.293093239034301	0.696	0.541	1	"Ast"	"NTRK2"	"20-40"
"CDK19"	3.82796597081307e-05	0.428857680445094	0.118	0.05	1	"Ast"	"CDK19"	"20-40"
"GABRA2"	3.85779145664415e-05	0.518208426965585	0.31	0.199	1	"Ast"	"GABRA2"	"20-40"
"CADM2"	4.00139094282011e-05	0.219377467905773	0.875	0.777	1	"Ast"	"CADM2"	"20-40"
"NEBL"	4.11064123213404e-05	0.331175841788803	0.68	0.551	1	"Ast"	"NEBL"	"20-40"
"S100B"	4.2983502770893e-05	-0.850258513272427	0.075	0.149	1	"Ast"	"S100B"	"20-40"
"SETBP1"	4.5483272425369e-05	0.57846898786715	0.159	0.081	1	"Ast"	"SETBP1"	"20-40"
"NFIA"	4.65042274599611e-05	0.350969218277851	0.533	0.393	1	"Ast"	"NFIA"	"20-40"
"NTM"	4.72649700305516e-05	0.209123461842319	0.941	0.917	1	"Ast"	"NTM"	"20-40"
"FTH1"	5.7471244247095e-05	-0.600499245692123	0.09	0.171	1	"Ast"	"FTH1"	"20-40"
"ICA1L"	5.92431773057122e-05	0.430152307551493	0.129	0.061	1	"Ast"	"ICA1L"	"20-40"
"COL16A1"	6.35523696952397e-05	-0.818757316656868	0.094	0.17	1	"Ast"	"COL16A1"	"20-40"
"GPC5"	6.76314766124114e-05	0.177953007432971	0.925	0.842	1	"Ast"	"GPC5"	"20-40"
"LMO4"	7.00330819673926e-05	0.387828830497065	0.106	0.044	1	"Ast"	"LMO4"	"20-40"
"SCAF8"	7.50861258837223e-05	0.441268681364539	0.112	0.049	1	"Ast"	"SCAF8"	"20-40"
"LGI4"	8.64874918865538e-05	0.564673945440616	0.355	0.247	1	"Ast"	"LGI4"	"20-40"
"KCNIP1"	8.71738319150642e-05	0.54893048689664	0.137	0.068	1	"Ast"	"KCNIP1"	"20-40"
"NPAS3"	9.05218787921469e-05	0.231916770987588	0.878	0.848	1	"Ast"	"NPAS3"	"20-40"
"KDM6A"	9.80133009074884e-05	0.450661963925915	0.114	0.052	1	"Ast"	"KDM6A"	"20-40"
"EHBP1"	9.96678225023612e-05	0.404759509013632	0.339	0.226	1	"Ast"	"EHBP1"	"20-40"
"NDRG2"	9.97041517194208e-05	-0.596096207233486	0.304	0.387	1	"Ast"	"NDRG2"	"20-40"
"PCDH9"	0.000108244632116212	0.171069555840513	0.969	0.939	1	"Ast"	"PCDH9"	"20-40"
"SCMH1"	0.000109983637805891	0.452852472767116	0.208	0.12	1	"Ast"	"SCMH1"	"20-40"
"SUMF1"	0.00011244259504465	0.393867695753802	0.192	0.108	1	"Ast"	"SUMF1"	"20-40"
"CTNND2"	0.000128441919609788	0.209830549677643	0.9	0.818	1	"Ast"	"CTNND2"	"20-40"
"RAD51B"	0.000150101513054116	0.480963128235813	0.188	0.108	1	"Ast"	"RAD51B"	"20-40"
"RBM25"	0.000155076728034258	0.437587644560598	0.537	0.419	1	"Ast"	"RBM25"	"20-40"
"CNOT2"	0.000155170429649148	0.421423910645596	0.104	0.046	1	"Ast"	"CNOT2"	"20-40"
"CEP192"	0.00017026495560576	0.346034498744745	0.108	0.049	1	"Ast"	"CEP192"	"20-40"
"GRID1"	0.00018414399964506	0.405695773494271	0.292	0.188	1	"Ast"	"GRID1"	"20-40"
"SYNE1"	0.000200343087778143	0.220875759702906	0.625	0.483	1	"Ast"	"SYNE1"	"20-40"
"RP11-281A20.2"	0.000208782518576826	0.413936760721929	0.114	0.053	1	"Ast"	"RP11-281A20.2"	"20-40"
"SHISA6"	0.000214175308333549	-0.6154185912142	0.043	0.1	1	"Ast"	"SHISA6"	"20-40"
"SGIP1"	0.000229328826005636	0.33538318844942	0.361	0.253	1	"Ast"	"SGIP1"	"20-40"
"SUZ12P1"	0.000262780236581791	0.278494682250888	0.2	0.115	1	"Ast"	"SUZ12P1"	"20-40"
"ADAMTS17"	0.000266279392157408	0.336672341291035	0.276	0.18	1	"Ast"	"ADAMTS17"	"20-40"
"CSGALNACT1"	0.000270953967938959	0.381076366137846	0.455	0.338	1	"Ast"	"CSGALNACT1"	"20-40"
"ZMAT1"	0.000285237092521943	0.309308182323481	0.298	0.196	1	"Ast"	"ZMAT1"	"20-40"
"CCDC144CP"	0.000299464115889762	0.313379725876315	0.127	0.064	1	"Ast"	"CCDC144CP"	"20-40"
"C1orf61"	0.000305605930562302	-0.441635412028235	0.441	0.517	1	"Ast"	"C1orf61"	"20-40"
"SEC63"	0.00032026069305318	0.436632899539221	0.125	0.064	1	"Ast"	"SEC63"	"20-40"
"ARHGEF12"	0.000322466850343545	0.302152927063595	0.322	0.219	1	"Ast"	"ARHGEF12"	"20-40"
"OPHN1"	0.000347229688169989	0.303813611555788	0.408	0.298	1	"Ast"	"OPHN1"	"20-40"
"POU6F2"	0.000348697816678951	-0.665274541430798	0.104	0.173	1	"Ast"	"POU6F2"	"20-40"
"MAGI2"	0.000363583833437432	0.210496427147984	0.81	0.716	1	"Ast"	"MAGI2"	"20-40"
"RP11-373N22.3"	0.000378296723723436	0.377227727952439	0.127	0.065	1	"Ast"	"RP11-373N22.3"	"20-40"
"ARGLU1"	0.000385099465772425	0.316624563624452	0.48	0.365	1	"Ast"	"ARGLU1"	"20-40"
"ZFPM2"	0.000441273434721493	0.355001980647582	0.145	0.078	1	"Ast"	"ZFPM2"	"20-40"
"ATP2C1"	0.00045849031969636	0.310391787156318	0.184	0.108	1	"Ast"	"ATP2C1"	"20-40"
"SCLT1"	0.000460439999754356	0.339414727375233	0.22	0.136	1	"Ast"	"SCLT1"	"20-40"
"SMYD3"	0.000467081013846034	0.277256209945166	0.398	0.279	1	"Ast"	"SMYD3"	"20-40"
"GLUL"	0.000474122509383876	-0.5107302230797	0.335	0.409	1	"Ast"	"GLUL"	"20-40"
"NRCAM"	0.000476453516153593	0.316763614853208	0.567	0.43	1	"Ast"	"NRCAM"	"20-40"
"MAN1A2"	0.000480232359680481	0.440352401303471	0.194	0.118	1	"Ast"	"MAN1A2"	"20-40"
"PELI2"	0.000484758893417086	0.519947655865178	0.165	0.096	1	"Ast"	"PELI2"	"20-40"
"KCNMB2-AS1"	0.000491064983944058	0.400443967233607	0.167	0.096	1	"Ast"	"KCNMB2-AS1"	"20-40"
"GOLGA4"	0.0005146725309633	0.192541875587224	0.359	0.248	1	"Ast"	"GOLGA4"	"20-40"
"CROCCP3"	0.000527786214141512	0.392102251431685	0.139	0.075	1	"Ast"	"CROCCP3"	"20-40"
"ATP5E"	0.000579538785310805	-0.659028717622887	0.047	0.1	1	"Ast"	"ATP5E"	"20-40"
