"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"ZFHX4"	6.36969829302794e-12	-1.32674062045082	0.082	0.342	1.36833858730826e-07	"Ast"	"ZFHX4"	"MS"
"RANBP3L"	7.235217670774e-12	-1.3050501534078	0.051	0.298	1.55426946003567e-07	"Ast"	"RANBP3L"	"MS"
"LINC01088"	9.45687896832751e-12	1.3431772531401	0.378	0.142	2.03152673997612e-07	"Ast"	"LINC01088"	"MS"
"MT.CO3"	9.50197599638953e-12	0.728755456712401	0.954	0.918	2.0412144835444e-07	"Ast"	"MT.CO3"	"MS"
"SLC38A1"	9.55695035033978e-12	1.35286954639504	0.296	0.093	2.05302407425999e-07	"Ast"	"SLC38A1"	"MS"
"RORB"	1.62682909193948e-11	-1.5313840766038	0.066	0.309	3.49475425530439e-07	"Ast"	"RORB"	"MS"
"PABPN1"	2.61522454372124e-11	1.44895638848124	0.224	0.055	5.61802536482197e-07	"Ast"	"PABPN1"	"MS"
"C3"	2.74318998136007e-11	1.32486440426653	0.224	0.053	5.8929207179577e-07	"Ast"	"C3"	"MS"
"SLC14A1"	4.45289779160123e-11	-1.10757287174346	0.224	0.499	9.56571503591777e-07	"Ast"	"SLC14A1"	"MS"
"FBXL7"	6.87770226523604e-11	-1.03593435351221	0.393	0.643	1.47746800061801e-06	"Ast"	"FBXL7"	"MS"
"GLI3"	1.15107832910042e-10	-1.3611364980241	0.031	0.243	2.47274646657353e-06	"Ast"	"GLI3"	"MS"
"TSPAN7"	1.52426487008268e-10	-1.43696251652757	0.031	0.241	3.2744257939116e-06	"Ast"	"TSPAN7"	"MS"
"ETNPPL"	1.59562436095649e-10	-1.18598526248128	0.102	0.347	3.42772025220674e-06	"Ast"	"ETNPPL"	"MS"
"CRB1"	1.61057640324231e-10	-1.10292744432567	0.179	0.442	3.45984022944514e-06	"Ast"	"CRB1"	"MS"
"SCRG1"	1.8608664036128e-10	-1.39737740975555	0.046	0.262	3.99751320824102e-06	"Ast"	"SCRG1"	"MS"
"MT3"	2.76223457246882e-10	-1.21455710828971	0.204	0.478	5.93383230857752e-06	"Ast"	"MT3"	"MS"
"DPP6"	3.00870809108866e-10	1.3130590352236	0.357	0.156	6.46330672127666e-06	"Ast"	"DPP6"	"MS"
"NPAS3"	3.02263918617053e-10	-0.58832699840003	0.796	0.92	6.49323349973152e-06	"Ast"	"NPAS3"	"MS"
"GFAP"	4.13860583704051e-10	1.54873316252708	0.24	0.072	8.89055305913043e-06	"Ast"	"GFAP"	"MS"
"LRAT"	4.18418445978958e-10	1.37503708689607	0.163	0.03	8.98846505651997e-06	"Ast"	"LRAT"	"MS"
"EDNRB"	4.7875067059802e-10	1.4444750131162	0.367	0.171	1.02845219057867e-05	"Ast"	"EDNRB"	"MS"
"U91319.1"	4.8041528976772e-10	1.42369886068218	0.128	0.015	1.03202812547902e-05	"Ast"	"U91319.1"	"MS"
"STXBP6"	5.03726373606216e-10	-1.23346707680329	0.036	0.239	1.08210499578087e-05	"Ast"	"STXBP6"	"MS"
"NLGN4Y"	5.63647909371717e-10	-1.26091710853931	0	0.173	1.21082843891232e-05	"Ast"	"NLGN4Y"	"MS"
"LSAMP"	6.05550204312822e-10	-0.647700848669968	0.878	0.937	1.3008429489048e-05	"Ast"	"LSAMP"	"MS"
"RBMS1"	6.46706244164129e-10	0.972136402574045	0.133	0.017	1.38925435371338e-05	"Ast"	"RBMS1"	"MS"
"DNAH7"	1.17935508444811e-09	-0.952602293835631	0.143	0.395	2.53349059241144e-05	"Ast"	"DNAH7"	"MS"
"PTN"	1.21782341406e-09	-0.928660383874502	0.143	0.402	2.61612825808369e-05	"Ast"	"PTN"	"MS"
"MAGI2"	1.23626522725032e-09	-0.643749306701769	0.719	0.86	2.65574496117914e-05	"Ast"	"MAGI2"	"MS"
"ADD3"	1.41988787047042e-09	-0.992435081373578	0.219	0.48	3.05020312334456e-05	"Ast"	"ADD3"	"MS"
"SGCZ"	1.52752076638647e-09	1.4614311560453	0.122	0.015	3.28142011035141e-05	"Ast"	"SGCZ"	"MS"
"NKAIN4"	1.56064716609545e-09	1.28961763597252	0.219	0.063	3.35258224220625e-05	"Ast"	"NKAIN4"	"MS"
"NTN1"	1.6457034912258e-09	1.05625853231308	0.117	0.013	3.53530023985127e-05	"Ast"	"NTN1"	"MS"
"LHX2"	1.65618264194041e-09	-1.34496366057664	0	0.165	3.55781155141638e-05	"Ast"	"LHX2"	"MS"
"PRDM16"	1.66386848169716e-09	-1.34318349534509	0.026	0.214	3.57432227238183e-05	"Ast"	"PRDM16"	"MS"
"AHCYL2"	1.70300787819395e-09	-1.14306304187564	0.168	0.404	3.65840152393624e-05	"Ast"	"AHCYL2"	"MS"
"MAP1B"	1.98979308496217e-09	1.0314998602847	0.5	0.292	4.27447350511574e-05	"Ast"	"MAP1B"	"MS"
"PDZRN4"	2.2673159960151e-09	1.20581064910028	0.173	0.038	4.87064822263965e-05	"Ast"	"PDZRN4"	"MS"
"PHACTR3"	2.70738967881766e-09	-1.17491963486967	0.082	0.298	5.8160145080361e-05	"Ast"	"PHACTR3"	"MS"
