"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"CABLES1"	2.61602107605596e-05	-0.507405187454923	0.244	0.435	0.281588508626664	"Ast"	"CABLES1"	"N"
"ANK3"	2.63631071088432e-05	-0.631744422765258	0.068	0.207	0.283772484919588	"Ast"	"ANK3"	"N"
"SLC6A1-AS1"	2.92900928922127e-05	-0.579235486916364	0.284	0.467	0.315278559891778	"Ast"	"SLC6A1-AS1"	"N"
"FAM168A"	2.93807445910849e-05	-0.510841591816717	0.119	0.272	0.316254334778437	"Ast"	"FAM168A"	"N"
"DDIT4"	3.01632940006115e-05	-0.48280126874227	0.17	0.34	0.324677696622582	"Ast"	"DDIT4"	"N"
"PLXDC2"	3.03980629711888e-05	-0.484440226014444	0.239	0.43	0.327204749821876	"Ast"	"PLXDC2"	"N"
"DOCK4"	3.24731044886977e-05	-0.295883005160725	0.58	0.769	0.349540496716342	"Ast"	"DOCK4"	"N"
"PTPRA"	3.76843166935794e-05	-0.38994867692724	0.142	0.309	0.405633984889689	"Ast"	"PTPRA"	"N"
"PSMD5-AS1"	3.798348240365e-05	-0.602425548713455	0.017	0.12	0.408854204592889	"Ast"	"PSMD5-AS1"	"N"
"PTPRG"	3.80721787802479e-05	-0.387316615678535	0.295	0.491	0.409808932390589	"Ast"	"PTPRG"	"N"
"CADPS"	4.10021744128452e-05	-0.676183900924287	0.051	0.176	0.441347405379865	"Ast"	"CADPS"	"N"
"ZSWIM6"	4.41455112627852e-05	-0.450197767870721	0.432	0.616	0.47518228323262	"Ast"	"ZSWIM6"	"N"
"MEGF10"	4.44074796902845e-05	-0.525097836848633	0.153	0.311	0.478002111386223	"Ast"	"MEGF10"	"N"
"CHKA"	4.45657557560864e-05	-0.340897159389589	0.199	0.375	0.479705794958514	"Ast"	"CHKA"	"N"
"PITPNC1"	4.4941831053506e-05	-0.30071191018613	0.733	0.873	0.483753869459938	"Ast"	"PITPNC1"	"N"
"A2ML1-AS1"	4.63837128592643e-05	0.646401541249491	0.159	0.073	0.499274285217121	"Ast"	"A2ML1-AS1"	"N"
"PIK3C2A"	4.87221867799654e-05	-0.518099421104853	0.278	0.448	0.524445618499548	"Ast"	"PIK3C2A"	"N"
"SET"	4.87953599882789e-05	-0.655396650407786	0.023	0.128	0.525233254913834	"Ast"	"SET"	"N"
"SLC39A12"	5.08977999306727e-05	-0.560402800712868	0.114	0.259	0.54786391845376	"Ast"	"SLC39A12"	"N"
"ATXN1"	5.39789516103093e-05	-0.466319342710179	0.21	0.397	0.58102943513337	"Ast"	"ATXN1"	"N"
"SRGAP3"	5.72630387630797e-05	-0.340763112847897	0.165	0.325	0.616379349245789	"Ast"	"SRGAP3"	"N"
"SREBF2"	5.76760329850626e-05	-0.615039348574797	0.074	0.203	0.620824819051214	"Ast"	"SREBF2"	"N"
"TRIM9"	5.94393084667435e-05	-0.399583778935302	0.324	0.511	0.639804716336027	"Ast"	"TRIM9"	"N"
"PTPRZ1"	6.01463145283978e-05	-0.400461991500869	0.506	0.691	0.647414929583674	"Ast"	"PTPRZ1"	"N"
"ASAP1"	6.12840610601996e-05	-0.422050368723848	0.216	0.397	0.659661633251988	"Ast"	"ASAP1"	"N"
"FRMD5"	6.22516664762097e-05	-0.34171279641508	0.216	0.39	0.670076937949921	"Ast"	"FRMD5"	"N"
"ZNF518A"	6.2989087161084e-05	-0.353191865378902	0.199	0.372	0.678014534201908	"Ast"	"ZNF518A"	"N"
"ZNF292"	6.5887701492272e-05	-0.550345739724587	0.176	0.335	0.709215218862816	"Ast"	"ZNF292"	"N"
"TNIK"	6.79140721393584e-05	-0.264795482944272	0.75	0.888	0.731027072508053	"Ast"	"TNIK"	"N"
"DCUN1D4"	6.81716691804185e-05	-0.520537706401179	0.091	0.223	0.733799847058025	"Ast"	"DCUN1D4"	"N"
"OPHN1"	6.83580349493801e-05	-0.33498157275388	0.455	0.69	0.735805888195127	"Ast"	"OPHN1"	"N"
"ZNF280D"	6.89786222887208e-05	-0.396705305246356	0.159	0.324	0.74248589031579	"Ast"	"ZNF280D"	"N"
"RBFOX2"	7.07324576982272e-05	-0.499964983934178	0.193	0.346	0.761364174663718	"Ast"	"RBFOX2"	"N"
"ZNF462"	7.34151347998148e-05	-0.525165554754797	0.148	0.295	0.790240510985206	"Ast"	"ZNF462"	"N"
"LPIN1"	7.35237910993005e-05	-0.455923855303757	0.216	0.397	0.791410087392871	"Ast"	"LPIN1"	"N"
"VAV3"	7.38651877067222e-05	-0.585499093640834	0.091	0.226	0.795084880475158	"Ast"	"VAV3"	"N"
"QTRT1"	7.4018118558886e-05	-0.527912102812267	0.17	0.33	0.796731028167848	"Ast"	"QTRT1"	"N"
"TAPT1-AS1"	7.40997204315859e-05	-0.430396531645095	0.131	0.29	0.797609390725591	"Ast"	"TAPT1-AS1"	"N"
"SLC4A4"	7.49378783014273e-05	-0.366029403413861	0.506	0.686	0.806631322036564	"Ast"	"SLC4A4"	"N"
"ZHX3"	7.60510248181981e-05	-0.316007497589962	0.358	0.579	0.818613231143084	"Ast"	"ZHX3"	"N"
"SPPL3"	7.62378295925629e-05	-0.530221947255911	0.08	0.21	0.820623997734348	"Ast"	"SPPL3"	"N"
"ARHGAP26"	7.87334862176267e-05	-0.448896640422915	0.244	0.415	0.847487245646534	"Ast"	"ARHGAP26"	"N"
"RERG"	7.92954742100068e-05	-0.678037585290929	0.068	0.189	0.853536484396513	"Ast"	"RERG"	"N"
"NCOA1"	8.15661258198619e-05	-0.342877242046447	0.432	0.638	0.877977778324994	"Ast"	"NCOA1"	"N"
"RP11-275H4.1"	8.88423368702533e-05	-0.577520122999124	0.062	0.184	0.956298914071406	"Ast"	"RP11-275H4.1"	"N"
"MAP3K5"	8.95363628215059e-05	-0.354591004265994	0.364	0.556	0.96376940941069	"Ast"	"MAP3K5"	"N"
"LINC01481"	9.1290624684294e-05	-0.580191901621495	0.091	0.22	0.98265228410174	"Ast"	"LINC01481"	"N"
"MGAT4C"	9.83508963487273e-05	-0.313196290379634	0.54	0.76	1	"Ast"	"MGAT4C"	"N"
"NCKAP5"	0.000100752241947658	-0.383178328163038	0.455	0.632	1	"Ast"	"NCKAP5"	"N"
"CD38"	0.000103319181441628	-0.624694620937082	0.028	0.129	1	"Ast"	"CD38"	"N"
"FAM13A"	0.000106956619936186	-0.615739763394918	0.051	0.163	1	"Ast"	"FAM13A"	"N"
"GPHN"	0.000111575216125149	-0.296448581857197	0.489	0.692	1	"Ast"	"GPHN"	"N"
"DARS"	0.000112483743360709	-0.526623007655926	0.068	0.191	1	"Ast"	"DARS"	"N"
"NRBP2"	0.000113468583537219	-0.443747118521827	0.136	0.287	1	"Ast"	"NRBP2"	"N"
"EYA2"	0.00011357466609979	-0.483975391060905	0.125	0.269	1	"Ast"	"EYA2"	"N"
"SPRED1"	0.000113918558739844	-0.572655126183308	0.097	0.23	1	"Ast"	"SPRED1"	"N"
"ARID1B"	0.000115522807166011	-0.431169154859863	0.261	0.437	1	"Ast"	"ARID1B"	"N"
"PCGF5"	0.000116255802502612	-0.486237579768401	0.182	0.34	1	"Ast"	"PCGF5"	"N"
"STON2"	0.000120254920513492	-0.280630127906122	0.312	0.502	1	"Ast"	"STON2"	"N"
"GNAQ"	0.000127306095822016	-0.380062717092606	0.449	0.628	1	"Ast"	"GNAQ"	"N"
"PCSK5"	0.000134591867157541	-0.348996021588643	0.136	0.285	1	"Ast"	"PCSK5"	"N"
"ZZZ3"	0.000137387775052721	-0.656074607361368	0.068	0.182	1	"Ast"	"ZZZ3"	"N"
"KCNQ3"	0.00013806487018236	-0.564219566889187	0.108	0.24	1	"Ast"	"KCNQ3"	"N"
"ID1"	0.00014078209664512	0.94905078485945	0.165	0.084	1	"Ast"	"ID1"	"N"
"ZNF532"	0.000141122840353014	-0.569602884293056	0.085	0.21	1	"Ast"	"ZNF532"	"N"
"LIMCH1"	0.000144625647546471	-0.438051726942926	0.222	0.384	1	"Ast"	"LIMCH1"	"N"
"SPOCK3"	0.000147524128414118	-0.675176588491423	0.04	0.143	1	"Ast"	"SPOCK3"	"N"
"RP11-436D23.1"	0.00015012758565603	-0.365057734063297	0.415	0.621	1	"Ast"	"RP11-436D23.1"	"N"
"SETD2"	0.000151028184955055	-0.423460248350617	0.074	0.195	1	"Ast"	"SETD2"	"N"
"C20orf194"	0.000155954964728318	-0.380575237253814	0.233	0.407	1	"Ast"	"C20orf194"	"N"
"C5orf56"	0.000157514444524681	-0.542583028292137	0.017	0.107	1	"Ast"	"C5orf56"	"N"
"PLPP1"	0.000163612048059527	-0.37550005932067	0.131	0.279	1	"Ast"	"PLPP1"	"N"
"DIP2C"	0.000177840540161553	-0.512941235382335	0.125	0.257	1	"Ast"	"DIP2C"	"N"
"ZFYVE21"	0.000178862946840156	-0.520212961282408	0.074	0.193	1	"Ast"	"ZFYVE21"	"N"
"GNAO1"	0.000179984437345714	-0.44081984174856	0.216	0.381	1	"Ast"	"GNAO1"	"N"
"SOX5"	0.000193292364135901	-0.233421356332181	0.455	0.664	1	"Ast"	"SOX5"	"N"
"DTNA"	0.000196292839114217	-0.24797327197563	0.858	0.948	1	"Ast"	"DTNA"	"N"
"RP11-263K19.4"	0.000197830768322308	-0.52394268814346	0.04	0.142	1	"Ast"	"RP11-263K19.4"	"N"
"LRRC3B"	0.000199146740084338	-0.457704528751338	0.261	0.426	1	"Ast"	"LRRC3B"	"N"
"TBCK"	0.000202947932203518	-0.552016589459961	0.102	0.231	1	"Ast"	"TBCK"	"N"
"PTAR1"	0.000205788153690576	-0.494002941326851	0.074	0.192	1	"Ast"	"PTAR1"	"N"
"LYPLAL1"	0.00021036937189626	-0.600160837823113	0.091	0.211	1	"Ast"	"LYPLAL1"	"N"
"MTMR10"	0.000233683418163169	-0.305890358312695	0.04	0.141	1	"Ast"	"MTMR10"	"N"
"LAMA1"	0.0002426575964787	-0.479983446033894	0.057	0.167	1	"Ast"	"LAMA1"	"N"
"EPS8"	0.000244462169143289	-0.491319055822448	0.074	0.195	1	"Ast"	"EPS8"	"N"
"SH3RF1"	0.00024832989636494	-0.395919446096302	0.148	0.291	1	"Ast"	"SH3RF1"	"N"
"RERE"	0.000248891713216389	-0.382788824697608	0.261	0.433	1	"Ast"	"RERE"	"N"
"TAOK1"	0.000255188791442707	-0.50278122874091	0.08	0.198	1	"Ast"	"TAOK1"	"N"
"TMEM94"	0.000261398137231822	-0.507134585239143	0.051	0.156	1	"Ast"	"TMEM94"	"N"
"NIPBL"	0.000263792621176607	-0.371908929638347	0.165	0.312	1	"Ast"	"NIPBL"	"N"
"CHL1"	0.000264230057500049	-0.443667822150222	0.193	0.339	1	"Ast"	"CHL1"	"N"
"FMNL2"	0.000264694971833173	-0.337794356207236	0.568	0.763	1	"Ast"	"FMNL2"	"N"
"PUM1"	0.000269059888144184	-0.552004889399255	0.068	0.178	1	"Ast"	"PUM1"	"N"
"HNRNPD"	0.000273603209197364	-0.55012296943909	0.04	0.138	1	"Ast"	"HNRNPD"	"N"
"KCNIP1"	0.000276326075124918	-0.472496103601154	0.028	0.122	1	"Ast"	"KCNIP1"	"N"
"UBE2E3"	0.000276685535745262	-0.594176685197363	0.074	0.184	1	"Ast"	"UBE2E3"	"N"
"KNOP1"	0.00028494897605636	0.747404861496592	0.244	0.151	1	"Ast"	"KNOP1"	"N"
"ZMYM2"	0.000294479522272921	-0.26738473424321	0.131	0.274	1	"Ast"	"ZMYM2"	"N"
"TLE1"	0.000296713446640284	-0.296932440218477	0.199	0.355	1	"Ast"	"TLE1"	"N"
"KLF12"	0.00029755648715554	-0.334862568858947	0.244	0.411	1	"Ast"	"KLF12"	"N"
"CTIF"	0.000306899286826866	-0.481352197246395	0.068	0.182	1	"Ast"	"CTIF"	"N"
"SPON1"	0.000310161661582783	-0.305433084685348	0.29	0.475	1	"Ast"	"SPON1"	"N"
"MAGI3"	0.000311668419963563	-0.417225319905188	0.159	0.303	1	"Ast"	"MAGI3"	"N"
"SSBP2"	0.000313288620175861	-0.408462568203526	0.227	0.384	1	"Ast"	"SSBP2"	"N"
"ZRANB3"	0.00031725277700579	-0.490224972066441	0.034	0.129	1	"Ast"	"ZRANB3"	"N"
"NCAM2"	0.000320830608904804	-0.287732545486322	0.625	0.801	1	"Ast"	"NCAM2"	"N"
"DLG1"	0.000320854153826078	-0.381267821665187	0.153	0.296	1	"Ast"	"DLG1"	"N"
"TRPM3"	0.000320899448081343	-0.291511510396614	0.693	0.845	1	"Ast"	"TRPM3"	"N"
"REV1"	0.000321488990824544	-0.473908220005804	0.028	0.121	1	"Ast"	"REV1"	"N"
"FADS2"	0.000334441313361253	-0.573500749913061	0.074	0.185	1	"Ast"	"FADS2"	"N"
"PLAGL1"	0.000345321422672345	-0.641346510910053	0.034	0.125	1	"Ast"	"PLAGL1"	"N"
"AQP4"	0.000362648207387769	0.365748362816975	0.722	0.67	1	"Ast"	"AQP4"	"N"
"STXBP5"	0.000370743222249126	-0.362621109059666	0.29	0.482	1	"Ast"	"STXBP5"	"N"
"EPB41L2"	0.000382250887892308	-0.454002112504117	0.165	0.299	1	"Ast"	"EPB41L2"	"N"
"CCDC91"	0.000386839576973995	-0.475891791313673	0.125	0.251	1	"Ast"	"CCDC91"	"N"
"NLGN4X"	0.000387800388403459	-0.325507163703487	0.108	0.238	1	"Ast"	"NLGN4X"	"N"
"CYP7B1"	0.00039339595777001	-0.333057474669719	0.074	0.186	1	"Ast"	"CYP7B1"	"N"
"TAB2"	0.000399596553348237	-0.396038159608154	0.21	0.363	1	"Ast"	"TAB2"	"N"
"LINC00693"	0.000404339048573228	-0.348706196869534	0.25	0.41	1	"Ast"	"LINC00693"	"N"
"TENM2"	0.000421003031940127	-0.353835061079076	0.597	0.768	1	"Ast"	"TENM2"	"N"
"KBTBD12"	0.000426844249896532	-0.610936553149166	0.028	0.115	1	"Ast"	"KBTBD12"	"N"
"IGF1R"	0.000431825049880998	-0.363512194664424	0.159	0.299	1	"Ast"	"IGF1R"	"N"
"NRCAM"	0.000432062694122746	-0.246276628336116	0.528	0.711	1	"Ast"	"NRCAM"	"N"
"SFMBT2"	0.000441257994477963	-0.191142614287451	0.227	0.388	1	"Ast"	"SFMBT2"	"N"
"MERTK"	0.000446564665372717	-0.309129450654116	0.119	0.251	1	"Ast"	"MERTK"	"N"
"ATP2C1"	0.00045043416110928	-0.423815710360957	0.176	0.312	1	"Ast"	"ATP2C1"	"N"
"DOCK10"	0.000450957692954925	-0.563847477210289	0.068	0.176	1	"Ast"	"DOCK10"	"N"
"PPP2R5A"	0.000454908031310477	-0.512658096773363	0.062	0.168	1	"Ast"	"PPP2R5A"	"N"
"RHEB"	0.000465033721735456	-0.402097483620731	0.097	0.216	1	"Ast"	"RHEB"	"N"
"TMEM232"	0.000482300181513613	-0.399200037128978	0.159	0.3	1	"Ast"	"TMEM232"	"N"
"EIF4G3"	0.000486835230939043	-0.379289296739276	0.205	0.354	1	"Ast"	"EIF4G3"	"N"
"TUBB2B"	0.000497036073734643	-0.366791121794356	0.256	0.405	1	"Ast"	"TUBB2B"	"N"
"KALRN"	0.000504015960745772	-0.331793158884912	0.188	0.337	1	"Ast"	"KALRN"	"N"
"PRKCA"	0.000504481083315103	-0.299125813905547	0.58	0.744	1	"Ast"	"PRKCA"	"N"
"FMN2"	0.000508592842482637	-0.26544874450591	0.557	0.773	1	"Ast"	"FMN2"	"N"
