"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"GALNT15"	1.01577085714159e-07	1.10744164590834	0.261	0.057	0.00109337575062721	"Ast"	"GALNT15"	"60-70"	"female"
"CTC-490E21.12"	1.09828682977734e-07	0.889605696647894	0.233	0.04	0.00118219594357233	"Ast"	"CTC-490E21.12"	"60-70"	"female"
"RP11-563J2.2"	1.1026648019326e-07	0.956354376414367	0.253	0.051	0.00118690839280026	"Ast"	"RP11-563J2.2"	"60-70"	"female"
"APLNR"	1.22857410374072e-07	1.16823202562465	0.159	0.006	0.00132243716526651	"Ast"	"APLNR"	"60-70"	"female"
"ESRRG"	1.31278753671638e-07	-1.29979255599389	0.127	0.324	0.00141308450452151	"Ast"	"ESRRG"	"60-70"	"female"
"S100A6"	1.49989869539536e-07	1.20907923683287	0.237	0.045	0.00161449095572357	"Ast"	"S100A6"	"60-70"	"female"
"WWOX"	1.5537039775213e-07	0.485749869897503	0.943	0.761	0.00167240696140393	"Ast"	"WWOX"	"60-70"	"female"
"CST3"	1.6709024663521e-07	-0.766437774173041	0.657	0.727	0.0017985594147814	"Ast"	"CST3"	"60-70"	"female"
"A2ML1-AS1"	1.9891534520618e-07	-0.984027809248542	0.02	0.159	0.00214112477579932	"Ast"	"A2ML1-AS1"	"60-70"	"female"
"SORBS1"	2.05939134720039e-07	0.568862608688354	0.861	0.653	0.00221672884612649	"Ast"	"SORBS1"	"60-70"	"female"
"RP11-116O11.1"	2.3403801609222e-07	-0.961175574813111	0.012	0.136	0.00251918520521665	"Ast"	"RP11-116O11.1"	"60-70"	"female"
"PLPP1"	2.37290769691459e-07	0.959541014936857	0.371	0.131	0.00255419784495886	"Ast"	"PLPP1"	"60-70"	"female"
"ADAMTSL3"	2.60220963474029e-07	1.09445243628043	0.249	0.057	0.00280101845083445	"Ast"	"ADAMTSL3"	"60-70"	"female"
"RBMS3"	3.49246931119955e-07	-1.17140631927337	0.216	0.426	0.0037592939665752	"Ast"	"RBMS3"	"60-70"	"female"
"RGS22"	3.61442767617327e-07	0.825840989425777	0.151	0.006	0.00389056995063291	"Ast"	"RGS22"	"60-70"	"female"
"ADCY2"	3.85854624133699e-07	0.596487052785927	0.849	0.625	0.00415333917417514	"Ast"	"ADCY2"	"60-70"	"female"
"RNF219-AS1"	4.12071041344747e-07	-0.960494889871386	0.576	0.693	0.00443553268903486	"Ast"	"RNF219-AS1"	"60-70"	"female"
"CSPG5"	4.46256559828865e-07	-1.22533000968749	0.033	0.176	0.0048035056099979	"Ast"	"CSPG5"	"60-70"	"female"
"FMN2"	4.53250525947676e-07	0.576301677270288	0.849	0.557	0.00487878866130078	"Ast"	"FMN2"	"60-70"	"female"
"SH3PXD2B"	4.79192814898369e-07	0.58124032003048	0.322	0.097	0.00515803145956605	"Ast"	"SH3PXD2B"	"60-70"	"female"
"ITPR2"	4.91058806087562e-07	0.637079054855728	0.735	0.477	0.00528575698872651	"Ast"	"ITPR2"	"60-70"	"female"
"ADGRL3"	4.9150859231796e-07	-0.821193606029398	0.62	0.699	0.00529059848771052	"Ast"	"ADGRL3"	"60-70"	"female"
"PDK3"	5.02171080339721e-07	0.982380108119833	0.159	0.011	0.00540536950877675	"Ast"	"PDK3"	"60-70"	"female"
"PTPRK"	5.28523896912353e-07	0.776931722839678	0.278	0.074	0.00568903122636457	"Ast"	"PTPRK"	"60-70"	"female"
"PHYHD1"	5.5474541252185e-07	0.738800857779879	0.216	0.04	0.00597127962038519	"Ast"	"PHYHD1"	"60-70"	"female"
"NBPF14"	5.73040158760991e-07	0.755893984508351	0.257	0.062	0.00616820426890331	"Ast"	"NBPF14"	"60-70"	"female"
"PABPC1"	5.86947146784582e-07	0.89411903821189	0.273	0.074	0.00631789908798924	"Ast"	"PABPC1"	"60-70"	"female"
"SLC24A3"	6.13304911904993e-07	-1.13912735575843	0.09	0.267	0.00660161407174535	"Ast"	"SLC24A3"	"60-70"	"female"
"GLUL"	7.11461707443453e-07	-0.944936512428904	0.424	0.58	0.00765817381892133	"Ast"	"GLUL"	"60-70"	"female"
"HOPX"	7.27289441278206e-07	-1.21036932989666	0.004	0.108	0.00782854354591861	"Ast"	"HOPX"	"60-70"	"female"
"RP11-3B12.2"	7.54298585295219e-07	-1.31197581487886	0.049	0.199	0.00811926997211774	"Ast"	"RP11-3B12.2"	"60-70"	"female"
"P2RY14"	7.57406158244059e-07	-1.29666510970497	0.094	0.261	0.00815271988733905	"Ast"	"P2RY14"	"60-70"	"female"
"VPS13D"	7.79220158310659e-07	0.725806489860735	0.286	0.08	0.00838752578405593	"Ast"	"VPS13D"	"60-70"	"female"
"TAOK1"	7.95707769639106e-07	0.831181171506202	0.282	0.08	0.00856499843239534	"Ast"	"TAOK1"	"60-70"	"female"
"FIGN"	8.73175983918318e-07	0.785041743956194	0.42	0.188	0.00939886629089677	"Ast"	"FIGN"	"60-70"	"female"
"SGCD"	9.43638262296418e-07	-1.17554726178314	0.273	0.455	0.0101573222553586	"Ast"	"SGCD"	"60-70"	"female"
"GNA14-AS1"	9.45397923041966e-07	-1.18883812392202	0.041	0.182	0.0101762632436237	"Ast"	"GNA14-AS1"	"60-70"	"female"
"TMSB4X"	1.05226814259442e-06	-1.32625409505684	0.171	0.364	0.0113266142868864	"Ast"	"TMSB4X"	"60-70"	"female"
"ADGRV1"	1.11329047316821e-06	-0.586979317154989	0.849	0.858	0.0119834586531826	"Ast"	"ADGRV1"	"60-70"	"female"
"SERGEF"	1.1423656746378e-06	0.813577901367576	0.212	0.04	0.0122964241218012	"Ast"	"SERGEF"	"60-70"	"female"
"HSPA1A"	1.27994095339136e-06	-1.5969649634182	0.094	0.267	0.0137772844223045	"Ast"	"HSPA1A"	"60-70"	"female"
"SPTAN1"	1.30580703868855e-06	0.832696979160533	0.4	0.182	0.0140557069644435	"Ast"	"SPTAN1"	"60-70"	"female"
"BCL6"	1.47593890929727e-06	0.534383784041019	0.461	0.205	0.0158870064196758	"Ast"	"BCL6"	"60-70"	"female"
"LRP1B"	1.47888879506018e-06	-0.643528697974979	0.906	0.875	0.0159187589900278	"Ast"	"LRP1B"	"60-70"	"female"
"ARHGEF17"	1.64637566890504e-06	0.809693710370066	0.253	0.068	0.0177215877000939	"Ast"	"ARHGEF17"	"60-70"	"female"
"MT1E"	1.78525690958131e-06	0.908542819398196	0.547	0.312	0.0192165053747332	"Ast"	"MT1E"	"60-70"	"female"
"DUSP1"	1.831786594083e-06	1.3138972277291	0.22	0.051	0.0197173508987094	"Ast"	"DUSP1"	"60-70"	"female"
"CADM1"	2.02008787968925e-06	-0.761543580164547	0.649	0.705	0.021744225936975	"Ast"	"CADM1"	"60-70"	"female"
"RORB"	2.11352660813766e-06	-1.08968123112163	0.147	0.33	0.0227500004099938	"Ast"	"RORB"	"60-70"	"female"
"MT2A"	2.12050732549161e-06	0.526893325970941	0.906	0.739	0.0228251408515917	"Ast"	"MT2A"	"60-70"	"female"
"BCAT2"	2.17667928071284e-06	0.956160330191092	0.265	0.08	0.0234297757775931	"Ast"	"BCAT2"	"60-70"	"female"
"ARHGAP39"	2.3701097569583e-06	0.820517428706529	0.147	0.011	0.0255118614238991	"Ast"	"ARHGAP39"	"60-70"	"female"
"PBX1"	2.39115362059841e-06	-0.820391871300766	0.253	0.455	0.0257383775721212	"Ast"	"PBX1"	"60-70"	"female"
"STAT3"	2.58161959176522e-06	0.781277187490775	0.282	0.091	0.0277885532857608	"Ast"	"STAT3"	"60-70"	"female"
"TTC3"	2.84272467184094e-06	0.649191846319102	0.388	0.159	0.0305990883676958	"Ast"	"TTC3"	"60-70"	"female"
"ARFGAP1"	2.91223690697286e-06	0.735135673307341	0.261	0.074	0.0313473180666559	"Ast"	"ARFGAP1"	"60-70"	"female"
"RILPL1"	2.93625162808851e-06	0.776452293342911	0.18	0.028	0.0316058125247447	"Ast"	"RILPL1"	"60-70"	"female"
"GRIK4"	3.12832869824075e-06	0.907747085366345	0.208	0.045	0.0336733301078635	"Ast"	"GRIK4"	"60-70"	"female"
"CLIP2"	3.15916126108032e-06	0.898031309371469	0.208	0.045	0.0340052118142686	"Ast"	"CLIP2"	"60-70"	"female"
"RBM25"	3.15993837036406e-06	0.948991953130505	0.343	0.142	0.0340135766185987	"Ast"	"RBM25"	"60-70"	"female"
"FAM157C"	3.17610688975922e-06	0.813231675315517	0.143	0.011	0.0341876145613683	"Ast"	"FAM157C"	"60-70"	"female"
"NAV1"	3.20302529701524e-06	0.79560311566095	0.363	0.153	0.0344773642970721	"Ast"	"NAV1"	"60-70"	"female"
"AC069368.3"	3.30695817682272e-06	0.917155906245125	0.208	0.045	0.0355960978153198	"Ast"	"AC069368.3"	"60-70"	"female"
